"site","year","survey_area"
"iw22201zicd2",1964,347
"8s22anrd4n1e",1964,3520
"0u3q6ihvq724",1964,956
"58uz6x9y297j",1964,909
"7s98f306170z",1964,946
"ij88a5vpejj9",1964,1300
"w38fy716ih92",1964,850
"9vgos6bk6007",1964,510
"xg08q3539c0l",1964,10000
"e1m98s54qf66",1964,44
"8tfe0kuun41a",1964,1117
"31o5qgpvqhfh",1964,2730
"bb4879r85066",1964,200
"obpjy64z8281",1964,3366
"c81m5r5fc549",1964,3560
"1o50u139ri6c",1964,306
"9k721o19rw56",1964,250
"xx191m74913n",1964,16000
"8766675it91c",1964,26036
"14419cj0p40j",1964,1800
"k8i20047s76f",1964,2200
"59i3866a2857",1964,3300
"7hiy409me306",1964,24985
"26hc4ur390i6",1964,1633
"75n75x7c06ft",1964,3500
"4d4cpmxoa8h0",1964,1840
"1jib72tqs6hh",1964,1884
"lx3r0699ax6o",1964,4570
"v91cez42p84p",1964,10864
"op6g2h3tl4m4",1964,2409
"395416c88uh3",1964,5098
"p8v4m7hdiy50",1964,4591
"58sl1a45d9gl",1964,2180
"mm878prvv001",1964,4167
"w2t63412qw72",1964,963
"vnkbaqog493w",1964,2340
"20134den6aws",1964,6052
"338gr1d991sp",1964,300
"8gs60480429k",1964,4740
"m6y1oe51x2a6",1964,3000
"8dl60ulcgxk6",1964,62058
"c7kiy01d1130",1964,3628
"k1r62427156w",1964,241
"l9ya7mqm6ol4",1964,5860
"09t5i0i81l16",1964,2000
"yd63yx817g5g",1964,2855
"xp6wk1d3800m",1964,1715
"0qaf4s1398xu",1964,400
"khyeb99o5987",1964,5600
"3yi5edstc9o9",1964,518
"yv47a8c51834",1964,1600
"nxbseaw04sex",1964,94857
"6mf978v2eaa5",1964,6954
"42u9324r20z2",1964,75
"29nl6z8jy7c7",1964,9504
"6h1osqpfd4gr",1964,15284
"d654ga0yr66t",1964,240024
"3o0w40vc9785",1964,10400
"3r26cl9s49g7",1964,51269
"agetn23vqa1r",1964,2250
"5272z5h51op4",1964,35000
"2413jo2i3c70",1964,1250
"18vmlu8an4j7",1964,5232
"f947fc989b73",1964,12326
"9z52f5v1p09p",1964,10000
"ccx8qr689jna",1964,2316
"8j09p5y1zim6",1964,548
"y93hs16a168r",1964,140
"2r8z6vkfq469",1964,1802
"qcuqsfzii1i7",1964,375
"7d1q1uck4y59",1964,1010
"z6o19la7m862",1964,986
"7m12qniutsl7",1964,7000
"gj7pe7o0nfgj",1964,11062
"i2zp1lo4dy2g",1964,3708
"22eeh71v5qo4",1964,6641
"bx6vlqgnaf7g",1964,2100
"83z2jw5i5n63",1964,2075
"o08mkhpw8257",1964,3240
"z58l54v677pg",1964,10000
"06936av50vn9",1964,3815
"7a9bx8i15b2a",1964,800
"b2z20xstozf4",1964,1104
"whrk8elgy260",1964,4000
"ji17dbb3l256",1964,195
"710ykuiq306y",1964,185
"w4hb3969ih7d",1964,14928
"2595vl1kdl8d",1964,6700
"x724h75f6sq1",1964,3816
"j8k16gm2mub9",1964,3605
"b7mxe94hl04k",1964,9770
"h8qbxm49agtq",1964,14500
"jqfkyi8qw795",1964,7027
"e6h983v53052",1964,21347
"8z36bf06m30k",1964,12492
"tih2963drg25",1964,21282
"n226556c3g5f",1964,762
"74q1lv8wssy8",1964,2957
"19k7yuy4ux2d",1964,77
"z82ts4v4fva7",1964,71
"em50ct9qzu3p",1964,230
"0pen8h7q2000",1964,120
"195u77b9lw7t",1964,30
"pq413k5f026o",1964,126
"82b10a5i4rz9",1964,220
"27490fpfs1d8",1964,120
"87hn2s9n26fx",1964,965
"z6ywz82gee7h",1964,939
"5lv91k7h1ot5",1964,297
"29i8t7b2iw9a",1964,45
"72uzn6b5445j",1964,120
"16e5t67tm979",1964,190
"pm49qcxf5u72",1964,722
"u0bi42j669ki",1964,300
"0gd3kz8n8871",1964,7340
"kxd2y018z3qa",1964,80
"13oq1g7i2809",1964,158
"8q6j1cxgmmhv",1964,75
"h8393etpu2et",1964,400
"13sknyi2o1g1",1964,30
"puybv7t4brp2",1964,80
"9nk8f9un3hpa",1964,750
"4bz1t8ph45p1",1964,15
"av8rx9322vkp",1964,75
"3321s6t0t6h7",1964,165
"2kxpq81rx392",1964,228
"c79g5122qz6d",1964,279
"cgc1199214of",1964,380
"cnrojdj6a297",1964,400
"594py9vi042b",1964,40
"0r061va225jz",1964,22
