"partition","site","year","survey_count"
"global","w5rxij47u420",1980,14500
"global","t4i772j119ku",1994,39
"global","t4i772j119ku",2002,34
"global","t4i772j119ku",2013,88
"global","r963gzn54da1",1989,12
"global","752ybm10b46r",1989,20
"global","752ybm10b46r",2003,37
"global","k8ko3467cl48",1975,13386
"global","k8ko3467cl48",1995,130
"global","7363z2929085",1976,3567
"global","bdf7a0408t4y",1976,104
"global","1al4hc4485nx",1976,22314
"global","1al4hc4485nx",2008,675
"global","a4ucsp402h19",1976,105220
"global","a4ucsp402h19",2007,917
"global","xo6fde3ef843",1976,2200
"global","xo6fde3ef843",2007,5462
"global","pe025fi0wm13",1976,29
"global","74ii83d63xz0",1976,288
"global","d110w042hexu",1978,100
"global","d110w042hexu",2009,100
"global","d110w042hexu",2014,200
"global","567a9e1mb3zt",2015,1553
"global","57z710a490q2",2006,6217
"global","57z710a490q2",1988,1595
"global","57z710a490q2",1977,1771
"global","57z710a490q2",1995,4998
"global","57z710a490q2",2002,5751
"global","57z710a490q2",1991,5360
"global","57z710a490q2",1978,15337
"global","57z710a490q2",1987,3059
"global","57z710a490q2",2009,4239
"global","57z710a490q2",2014,5738
"global","44d1qumfjkcy",1967,1197
"global","44d1qumfjkcy",2003,793
"global","44d1qumfjkcy",1990,220
"global","7mpiwx2iaa95",1969,200
"global","7mpiwx2iaa95",1990,149
"global","7mpiwx2iaa95",2006,36
"global","7mpiwx2iaa95",1976,450
"global","7mpiwx2iaa95",2014,104
"global","5pfq04t202r1",2006,88
"global","5pfq04t202r1",2009,0
"global","9fw2c32g32f0",1978,500
"global","xekycd8f4684",2014,16
"global","bn02kvf55h04",2014,59
"global","bn02kvf55h04",1978,665
"global","bn02kvf55h04",1994,300
"global","bn02kvf55h04",2005,41
"global","bn02kvf55h04",1996,346
"global","bn02kvf55h04",2002,63
"global","9vq589y3e7g2",2009,13143
"global","9vq589y3e7g2",2000,2861
"global","9vq589y3e7g2",2006,9541
